Date,Open,High,Low,Close,Adj Close,Volume
2015/12/23,null,null,null,null,null,null
2015/12/24,7.00906,7.09778,6.9992,7.01892,6.65048,35845888
2015/12/25,7.04849,7.05835,6.98935,7.02878,6.659822,18466156
2015/12/28,7.04849,7.05835,7.00906,7.01892,6.65048,18509775
2015/12/29,7.01892,7.03864,6.94006,6.9992,6.631795,11900953
2015/12/30,6.9992,7.03864,6.91048,7.01892,6.65048,13581815
2015/12/31,6.98935,7.04849,6.94006,7.04849,6.678498,10584260
2016/1/4,7.00906,7.00906,6.73304,6.73304,6.379607,25989968
2016/1/5,6.73304,6.77247,6.58517,6.58517,6.239499,24111297
2016/1/6,6.59503,6.61474,6.46687,6.55559,6.211472,24996869
2016/1/7,6.55559,6.60488,6.35843,6.38801,6.052688,41785206
2016/1/8,6.38801,6.46687,6.35843,6.38801,6.052688,32138253
2016/1/11,6.35843,6.36829,6.11198,6.11198,5.791148,42199082
2016/1/12,6.12184,6.24014,6.12184,6.14156,5.819175,32658640
2016/1/13,6.21056,6.27957,6.14156,6.15141,5.828508,27147400
2016/1/14,6.11198,6.15141,6.03312,6.14156,5.819175,27076392
2016/1/15,6.16127,6.23028,5.99368,5.99368,5.679057,34123435
2016/1/18,5.91482,6.12184,5.90496,6.11198,5.791148,37684997
2016/1/19,6.12184,6.24014,6.06269,6.24014,5.91258,24683420
2016/1/20,6.16127,6.17113,6.00354,6.06269,5.744445,30343777
2016/1/21,6.06269,6.09227,5.91482,5.91482,5.604338,29838605
2016/1/22,6.05283,6.08241,5.97397,6.05283,5.735103,24702693
2016/1/25,6.12184,6.26971,6.07255,6.21056,5.884553,29522112
2016/1/26,6.1317,6.15141,6.04298,6.05283,5.735103,23076608
2016/1/27,6.10212,6.15141,5.96411,5.98383,5.669724,23768430
2016/1/28,6.0134,6.12184,6.00354,6.06269,5.744445,21728469
2016/1/29,6.08241,6.29928,6.03312,6.26971,5.940598,40748488
